STATIONS_ID;MESS_DATUM;QN_7;SD_SO;eor
        403;2017012613;   10; 50.00;eor
        403;2017012614;   10; 60.00;eor
        403;2017012615;   10; 60.00;eor
        403;2017012616;   10;  9.00;eor
        403;2017012617;   10;  0.00;eor
        403;2017012618;   10;  0.00;eor
        403;2017012619;   10;  0.00;eor
        403;2017012620;   10;  0.00;eor
        403;2017012703;   10;  0.00;eor
        403;2017012704;   10;  0.00;eor
        403;2017012705;   10;  0.00;eor
        403;2017012706;   10;  0.00;eor
        403;2017012707;   10;  0.00;eor
        403;2017012708;   10; 43.00;eor
        403;2017012709;   10; 60.00;eor
        403;2017012710;   10; 60.00;eor
        403;2017012711;   10; 60.00;eor
        403;2017012712;   10; 60.00;eor
        403;2017012713;   10; 60.00;eor
        403;2017012714;   10; 60.00;eor
        403;2017012715;   10; 60.00;eor
        403;2017012716;   10; 35.00;eor
        403;2017012717;   10;  0.00;eor
        403;2017012718;   10;  0.00;eor
        403;2017012719;   10;  0.00;eor
        403;2017012720;   10;  0.00;eor
        403;2017012803;   10;  0.00;eor
        403;2017012804;   10;  0.00;eor
        403;2017012805;   10;  0.00;eor
        403;2017012806;   10;  0.00;eor
        403;2017012807;   10;  0.00;eor
        403;2017012808;   10; 28.00;eor
        403;2017012809;   10; 60.00;eor
        403;2017012810;   10; 60.00;eor
        403;2017012811;   10; 60.00;eor
        403;2017012812;   10; 60.00;eor
        403;2017012813;   10; 60.00;eor
        403;2017012814;   10; 60.00;eor
        403;2017012815;   10; 60.00;eor
        403;2017012816;   10; 26.00;eor
        403;2017012817;   10;  0.00;eor
        403;2017012818;   10;  0.00;eor
        403;2017012819;   10;  0.00;eor
        403;2017012820;   10;  0.00;eor
        403;2017012903;   10;  0.00;eor
        403;2017012904;   10;  0.00;eor
        403;2017012905;   10;  0.00;eor
        403;2017012906;   10;  0.00;eor
        403;2017012907;   10;  0.00;eor
        403;2017012908;   10; 38.00;eor
        403;2017012909;   10; 60.00;eor
        403;2017012910;   10; 60.00;eor
        403;2017012911;   10; 60.00;eor
        403;2017012912;   10; 60.00;eor
        403;2017012913;   10; 60.00;eor
        403;2017012914;   10; 60.00;eor
        403;2017012915;   10;  2.00;eor
        403;2017012916;   10;  0.00;eor
        403;2017012917;   10;  0.00;eor
        403;2017012918;   10;  0.00;eor
        403;2017012919;   10;  0.00;eor
        403;2017012920;   10;  0.00;eor
        403;2017013003;   10;  0.00;eor
        403;2017013004;   10;  0.00;eor
        403;2017013005;   10;  0.00;eor
        403;2017013006;   10;  0.00;eor
        403;2017013007;   10;  0.00;eor
        403;2017013008;   10;  0.00;eor
        403;2017013009;   10;  0.00;eor
        403;2017013010;   10;  0.00;eor
        403;2017013011;   10;  0.00;eor
        403;2017013012;   10;  0.00;eor
        403;2017013013;   10;  0.00;eor
        403;2017013014;   10;  0.00;eor
        403;2017013015;   10;  0.00;eor
        403;2017013016;   10;  0.00;eor
        403;2017013017;   10;  0.00;eor
        403;2017013018;   10;  0.00;eor
        403;2017013019;   10;  0.00;eor
        403;2017013020;   10;  0.00;eor
        403;2017013103;   10;  0.00;eor
        403;2017013104;   10;  0.00;eor
        403;2017013105;   10;  0.00;eor
        403;2017013106;   10;  0.00;eor
        403;2017013107;   10;  0.00;eor
        403;2017013108;   10;  0.00;eor
        403;2017013109;   10;  0.00;eor
        403;2017013110;   10;  0.00;eor
        403;2017013111;   10;  0.00;eor
        403;2017013112;   10;  0.00;eor
        403;2017013113;   10;  0.00;eor
        403;2017013114;   10;  0.00;eor
        403;2017013115;   10;  0.00;eor
        403;2017013116;   10;  0.00;eor
        403;2017013117;   10;  0.00;eor
        403;2017013118;   10;  0.00;eor
        403;2017013119;   10;  0.00;eor
        403;2017013120;   10;  0.00;eor
        403;2017020103;   10;  0.00;eor
        403;2017020104;   10;  0.00;eor
        403;2017020105;   10;  0.00;eor
        403;2017020106;   10;  0.00;eor
        403;2017020107;   10;  0.00;eor
        403;2017020108;   10;  0.00;eor
        403;2017020109;   10;  0.00;eor
        403;2017020110;   10;  0.00;eor
        403;2017020111;   10;  0.00;eor
        403;2017020112;   10;  0.00;eor
        403;2017020113;   10;  0.00;eor
        403;2017020114;   10;  0.00;eor
        403;2017020115;   10;  0.00;eor
        403;2017020116;   10;  0.00;eor
        403;2017020117;   10;  0.00;eor
        403;2017020118;   10;  0.00;eor
        403;2017020119;   10;  0.00;eor
        403;2017020120;   10;  0.00;eor
        403;2017020203;   10;  0.00;eor
        403;2017020204;   10;  0.00;eor
        403;2017020205;   10;  0.00;eor
        403;2017020206;   10;  0.00;eor
        403;2017020207;   10;  0.00;eor
        403;2017020208;   10; 38.00;eor
        403;2017020209;   10; 60.00;eor
        403;2017020210;   10; 60.00;eor
        403;2017020211;   10; 50.00;eor
        403;2017020212;   10;  0.00;eor
        403;2017020213;   10;  0.00;eor
        403;2017020214;   10;  0.00;eor
        403;2017020215;   10;  0.00;eor
        403;2017020216;   10;  0.00;eor
        403;2017020217;   10;  0.00;eor
        403;2017020218;   10;  0.00;eor
        403;2017020219;   10;  0.00;eor
        403;2017020220;   10;  0.00;eor
        403;2017020303;   10;  0.00;eor
        403;2017020304;   10;  0.00;eor
        403;2017020305;   10;  0.00;eor
        403;2017020306;   10;  0.00;eor
        403;2017020307;   10;  0.00;eor
        403;2017020308;   10;  0.00;eor
        403;2017020309;   10;  0.00;eor
        403;2017020310;   10;  0.00;eor
        403;2017020311;   10;  0.00;eor
        403;2017020312;   10;  0.00;eor
        403;2017020313;   10;  0.00;eor
        403;2017020314;   10;  0.00;eor
        403;2017020315;   10;  0.00;eor
        403;2017020316;   10;  0.00;eor
        403;2017020317;   10;  0.00;eor
        403;2017020318;   10;  0.00;eor
        403;2017020319;   10;  0.00;eor
        403;2017020320;   10;  0.00;eor
        403;2017020403;   10;  0.00;eor
        403;2017020404;   10;  0.00;eor
        403;2017020405;   10;  0.00;eor
        403;2017020406;   10;  0.00;eor
        403;2017020407;   10;  0.00;eor
        403;2017020408;   10;  0.00;eor
        403;2017020409;   10;  0.00;eor
        403;2017020410;   10;  0.00;eor
        403;2017020411;   10;  0.00;eor
        403;2017020412;   10;  0.00;eor
        403;2017020413;   10;  0.00;eor
        403;2017020414;   10;  0.00;eor
        403;2017020415;   10;  0.00;eor
        403;2017020416;   10;  0.00;eor
        403;2017020417;   10;  0.00;eor
        403;2017020418;   10;  0.00;eor
        403;2017020419;   10;  0.00;eor
        403;2017020420;   10;  0.00;eor
        403;2017020503;   10;  0.00;eor
        403;2017020504;   10;  0.00;eor
        403;2017020505;   10;  0.00;eor
        403;2017020506;   10;  0.00;eor
        403;2017020507;   10;  0.00;eor
        403;2017020508;   10;  0.00;eor
        403;2017020509;   10;  0.00;eor
        403;2017020510;   10;  0.00;eor
        403;2017020511;   10;  0.00;eor
        403;2017020512;   10;  0.00;eor
        403;2017020513;   10;  0.00;eor
        403;2017020514;   10;  0.00;eor
        403;2017020515;   10;  0.00;eor
        403;2017020516;   10;  0.00;eor
        403;2017020517;   10;  0.00;eor
        403;2017020518;   10;  0.00;eor
        403;2017020519;   10;  0.00;eor
        403;2017020520;   10;  0.00;eor
        403;2017020603;   10;  0.00;eor
        403;2017020604;   10;  0.00;eor
        403;2017020605;   10;  0.00;eor
        403;2017020606;   10;  0.00;eor
        403;2017020607;   10;  0.00;eor
        403;2017020608;   10;  0.00;eor
        403;2017020609;   10;  0.00;eor
        403;2017020610;   10;  0.00;eor
        403;2017020611;   10;  0.00;eor
        403;2017020612;   10;  0.00;eor
        403;2017020613;   10;  0.00;eor
        403;2017020614;   10;  0.00;eor
        403;2017020615;   10;  0.00;eor
        403;2017020616;   10;  0.00;eor
        403;2017020617;   10;  0.00;eor
        403;2017020618;   10;  0.00;eor
        403;2017020619;   10;  0.00;eor
        403;2017020620;   10;  0.00;eor
        403;2017020703;   10;  0.00;eor
        403;2017020704;   10;  0.00;eor
        403;2017020705;   10;  0.00;eor
        403;2017020706;   10;  0.00;eor
        403;2017020707;   10;  0.00;eor
        403;2017020708;   10;  0.00;eor
        403;2017020709;   10;  0.00;eor
        403;2017020710;   10;  0.00;eor
        403;2017020711;   10;  0.00;eor
        403;2017020712;   10;  0.00;eor
        403;2017020713;   10;  0.00;eor
        403;2017020714;   10;  0.00;eor
        403;2017020715;   10;  0.00;eor
        403;2017020716;   10;  0.00;eor
        403;2017020717;   10;  0.00;eor
        403;2017020718;   10;  0.00;eor
        403;2017020719;   10;  0.00;eor
        403;2017020720;   10;  0.00;eor
        403;2017020803;   10;  0.00;eor
        403;2017020804;   10;  0.00;eor
        403;2017020805;   10;  0.00;eor
        403;2017020806;   10;  0.00;eor
        403;2017020807;   10;  0.00;eor
        403;2017020808;   10;  0.00;eor
        403;2017020809;   10;  0.00;eor
        403;2017020810;   10;  0.00;eor
        403;2017020811;   10;  0.00;eor
        403;2017020812;   10;  0.00;eor
        403;2017020813;   10;  0.00;eor
        403;2017020814;   10;  2.00;eor
        403;2017020815;   10;  2.00;eor
        403;2017020816;   10;  0.00;eor
        403;2017020817;   10;  0.00;eor
        403;2017020818;   10;  0.00;eor
        403;2017020819;   10;  0.00;eor
        403;2017020820;   10;  0.00;eor
        403;2017020903;   10;  0.00;eor
        403;2017020904;   10;  0.00;eor
        403;2017020905;   10;  0.00;eor
        403;2017020906;   10;  0.00;eor
        403;2017020907;   10;  0.00;eor
        403;2017020908;   10;  0.00;eor
        403;2017020909;   10;  0.00;eor
        403;2017020910;   10;  0.00;eor
        403;2017020911;   10;  0.00;eor
        403;2017020912;   10;  0.00;eor
        403;2017020913;   10; 35.00;eor
        403;2017020914;   10; 60.00;eor
        403;2017020915;   10; 60.00;eor
        403;2017020916;   10; 43.00;eor
        403;2017020917;   10;  0.00;eor
        403;2017020918;   10;  0.00;eor
        403;2017020919;   10;  0.00;eor
        403;2017020920;   10;  0.00;eor
        403;2017021003;   10;  0.00;eor
        403;2017021004;   10;  0.00;eor
        403;2017021005;   10;  0.00;eor
        403;2017021006;   10;  0.00;eor
        403;2017021007;   10;  0.00;eor
        403;2017021008;   10;  0.00;eor
        403;2017021009;   10;  0.00;eor
        403;2017021010;   10;  3.00;eor
        403;2017021011;   10; 47.00;eor
        403;2017021012;   10; 60.00;eor
